filename,mean_speedKMH
2021-02-21-2,9
2021-02-21-3,10
2021-02-21-4,10
2021-02-21-5,12
2021-02-21-6,17
2021-02-21-7,16
2021-02-21-8,13
2021-02-21-9,14
2021-02-21-10,18
2021-02-21-11,17
2021-02-21-12,12
2021-02-21-13,11
2021-02-21-14,13
2021-02-21-15,14
2021-02-21-16,14
2021-02-21-17,13
2021-02-21-18,14
2021-02-21-19,16
2021-02-21-20,12
2021-02-21-21,12
2021-02-21-22,12
2021-02-21-23,11
2021-02-22-0,9
2021-02-22-1,11
2021-02-22-2,23
2021-02-22-3,14
2021-02-22-4,15
2021-02-22-5,16
2021-02-22-6,16
2021-02-22-7,19
2021-02-22-8,12
2021-02-22-9,13
2021-02-22-10,13
2021-02-22-11,13
2021-02-22-12,15
2021-02-22-13,19
2021-02-22-14,15
2021-02-22-15,13
2021-02-22-16,13
2021-02-22-17,16
2021-02-22-18,16
2021-02-22-19,17
2021-02-22-20,14
2021-02-22-21,13
2021-02-22-22,15
2021-02-22-23,11
2021-02-23-0,23
2021-02-23-1,16
2021-02-23-2,15
2021-02-23-3,17
2021-02-23-5,40
2021-02-23-6,19
2021-02-23-7,17
2021-02-23-8,13
2021-02-23-9,12
2021-02-23-10,18
2021-02-23-11,19
2021-02-23-12,12
2021-02-23-13,11
2021-02-23-14,12
2021-02-23-15,12
2021-02-23-16,19
2021-02-23-17,22
2021-02-23-18,14
2021-02-23-19,15
2021-02-23-20,13
2021-02-23-21,13
2021-02-23-22,13
2021-02-23-23,14
2021-02-24-0,15
2021-02-24-1,28
2021-02-24-2,19
2021-02-24-4,23
2021-02-24-5,45
2021-02-24-6,17
2021-02-24-7,18
2021-02-24-8,14
2021-02-24-9,14
2021-02-24-10,12
2021-02-24-11,12
2021-02-24-12,11
2021-02-24-13,12
2021-02-24-14,14
2021-02-24-15,19
2021-02-24-16,20
2021-02-24-17,17
2021-02-24-18,14
2021-02-24-19,13
2021-02-24-20,13
2021-02-24-21,13
2021-02-24-22,14
2021-02-24-23,28
2021-02-25-0,14
2021-02-25-1,45
2021-02-25-2,4
2021-02-25-3,14
2021-02-25-4,41
2021-02-25-5,39
2021-02-25-6,13
2021-02-25-7,14
2021-02-25-8,14
2021-02-25-9,14
2021-02-25-10,22
2021-02-25-11,19
2021-02-25-12,14
2021-02-25-13,13
2021-02-25-14,17
2021-02-25-15,16
2021-02-25-16,17
2021-02-25-17,16
2021-02-25-18,16
2021-02-25-19,15
2021-02-25-20,16
2021-02-25-21,18
2021-02-25-22,13
2021-02-25-23,25
2021-02-26-0,17
2021-02-26-1,36
2021-02-26-2,10
2021-02-26-3,31
2021-02-26-4,9
2021-02-26-5,6
2021-02-26-6,8
2021-02-26-7,16
2021-02-26-8,13
2021-02-26-9,12
2021-02-26-10,11
2021-02-26-11,12
2021-02-26-12,11
2021-02-26-13,12
2021-02-26-14,15
2021-02-26-15,12
2021-02-26-16,13
2021-02-26-17,15
2021-02-26-18,11
2021-02-26-19,16
2021-02-26-20,19
2021-02-26-21,15
2021-02-26-22,14
2021-02-26-23,23
2021-02-27-0,12
2021-02-27-1,12
2021-02-27-2,9
2021-02-27-3,13
2021-02-27-4,17
2021-02-27-5,7
2021-02-27-6,9
2021-02-27-7,15
2021-02-27-8,9
2021-02-27-10,16
2021-02-27-11,18
2021-02-27-12,15
2021-02-27-13,12
2021-02-27-14,10
2021-02-27-15,13
2021-02-27-16,12
2021-02-27-17,12
2021-02-27-18,11
2021-02-27-19,12
2021-02-27-20,15
2021-02-27-21,12
2021-02-27-22,13
2021-02-27-23,12
2021-02-28-0,11
2021-02-28-1,9
2021-02-28-2,38
2021-02-28-3,10
2021-02-28-4,26
2021-02-28-6,10
2021-02-28-7,11
2021-02-28-8,22
2021-02-28-9,17
2021-02-28-10,13
2021-02-28-11,13
2021-02-28-12,12
2021-02-28-13,12
2021-02-28-14,12
2021-02-28-15,12
2021-02-28-16,12
2021-02-28-17,12
2021-02-28-18,11
